TotalIncluidoE500	893.2100000000000000
FC10.28	883.2100000000000000	0.9888044244914409825237066311
FC5.2	10.0000000000000000	0.0111955755085590174762933689
FC10.28	883.2100000000000000	0.9888044244914409825237066311
FC5.2	10.0000000000000000	0.0111955755085590174762933689
FC10.28	883.2100000000000000	0.9888044244914409825237066311
FC5.2	10.0000000000000000	0.0111955755085590174762933689
FC10.28	883.2100000000000000	0.9888044244914409825237066311
FC5.2	10.0000000000000000	0.0111955755085590174762933689
FC10.28	883.2100000000000000	0.9888044244914409825237066311
FC5.2	10.0000000000000000	0.0111955755085590174762933689
FC10.28	883.2100000000000000	0.9888044244914409825237066311
FC5.2	10.0000000000000000	0.0111955755085590174762933689
FC10.28	883.2100000000000000	0.9888044244914409825237066311
FC5.2	10.0000000000000000	0.0111955755085590174762933689
FC10.28	883.2100000000000000	0.9888044244914409825237066311
FC5.2	10.0000000000000000	0.0111955755085590174762933689
FC10.28	883.2100000000000000	0.9888044244914409825237066311
FC5.2	10.0000000000000000	0.0111955755085590174762933689
FC10.28	883.2100000000000000	0.9888044244914409825237066311
FC5.2	10.0000000000000000	0.0111955755085590174762933689
FC10.28	883.2100000000000000	0.9888044244914409825237066311
FC5.2	10.0000000000000000	0.0111955755085590174762933689
FC10.28	883.2100000000000000	0.9888044244914409825237066311
FC5.2	10.0000000000000000	0.0111955755085590174762933689
FC10.28	883.2100000000000000	0.9888044244914409825237066311
FC5.2	10.0000000000000000	0.0111955755085590174762933689
FC10.28	883.2100000000000000	0.9888044244914409825237066311
FC5.2	10.0000000000000000	0.0111955755085590174762933689
FC10.28	883.2100000000000000	0.9888044244914409825237066311
FC5.2	10.0000000000000000	0.0111955755085590174762933689
