TotalIncluidoE500	215.6499999999999990
FC8.11	5.0000000000000000	0.0231857175979596569588950503
FC8.12	4.3365508342260599	0.0201092085983123576170146469
FC8.9	162.7082492972762988	0.7545015038130132137931903724
FC1.4	3.2524131256695450	0.0150819064487342685605467491
FC1.1	8.0000000000000000	0.0370971481567354511342320805
FC1.2	32.3527867428280953	0.1500245153852450519361211008
FC8.11	5.0000000000000000	0.0231857175979596569588950503
FC8.12	4.3365508342260599	0.0201092085983123576170146469
FC8.9	162.7082492972762988	0.7545015038130132137931903724
FC1.4	3.2524131256695450	0.0150819064487342685605467491
FC1.1	8.0000000000000000	0.0370971481567354511342320805
FC1.2	32.3527867428280953	0.1500245153852450519361211008
FC8.11	5.0000000000000000	0.0231857175979596569588950503
FC8.12	4.3365508342260599	0.0201092085983123576170146469
FC8.9	162.7082492972762988	0.7545015038130132137931903724
FC1.4	3.2524131256695450	0.0150819064487342685605467491
FC1.1	8.0000000000000000	0.0370971481567354511342320805
FC1.2	32.3527867428280953	0.1500245153852450519361211008
FC8.11	5.0000000000000000	0.0231857175979596569588950503
FC8.12	4.3365508342260599	0.0201092085983123576170146469
FC8.9	162.7082492972762988	0.7545015038130132137931903724
FC1.4	3.2524131256695450	0.0150819064487342685605467491
FC1.1	8.0000000000000000	0.0370971481567354511342320805
FC1.2	32.3527867428280953	0.1500245153852450519361211008
