MontoTotalDirectos	7058.4285000000000000
FC8.11	0.0000000000000000	0
FC8.12	197.9600000000000000	0.0280459028521716979919822096
FC1.4	148.4700000000000000	0.0210344271391287734939866572
FC1.1	0.0000000000000000	0
FC8.9	6504.4885000000000000	0.9215207747730249020727489129
FC1.2	207.5100000000000000	0.0293988952356746264412822203
FC8.11	0.0000000000000000	0
FC8.12	197.9600000000000000	0.0280459028521716979919822096
FC1.4	148.4700000000000000	0.0210344271391287734939866572
FC1.1	0.0000000000000000	0
FC8.9	6504.4885000000000000	0.9215207747730249020727489129
FC1.2	207.5100000000000000	0.0293988952356746264412822203
FC8.11	0.0000000000000000	0
FC8.12	197.9600000000000000	0.0280459028521716979919822096
FC1.4	148.4700000000000000	0.0210344271391287734939866572
FC1.1	0.0000000000000000	0
FC8.9	6504.4885000000000000	0.9215207747730249020727489129
FC1.2	207.5100000000000000	0.0293988952356746264412822203
FC8.11	0.0000000000000000	0
FC8.12	197.9600000000000000	0.0280459028521716979919822096
FC1.4	148.4700000000000000	0.0210344271391287734939866572
FC1.1	0.0000000000000000	0
FC8.9	6504.4885000000000000	0.9215207747730249020727489129
FC1.2	207.5100000000000000	0.0293988952356746264412822203
FC8.11	0.0000000000000000	0
FC8.12	197.9600000000000000	0.0280459028521716979919822096
FC1.4	148.4700000000000000	0.0210344271391287734939866572
FC1.1	0.0000000000000000	0
FC8.9	6504.4885000000000000	0.9215207747730249020727489129
FC1.2	207.5100000000000000	0.0293988952356746264412822203
TotalE500	12.000000000000000000000000000
