MontoTotalDirectos	3042.5196062275255599
FC1.1	279.9848031137627800	0.0920239930551905108925973729
FC8.9	0.0000000000000000	0
FC5.2	709.3000000000000000	0.2331291468256054223564779285
FC10.28	279.9848031137627799	0.0920239930551905108597298773
FC8.14	1773.2500000000000000	0.5828228670640135558911948213
FC1.1	279.9848031137627800	0.0920239930551905108925973729
FC8.9	0.0000000000000000	0
FC5.2	709.3000000000000000	0.2331291468256054223564779285
FC10.28	279.9848031137627799	0.0920239930551905108597298773
FC8.14	1773.2500000000000000	0.5828228670640135558911948213
FC1.1	279.9848031137627800	0.0920239930551905108925973729
FC8.9	0.0000000000000000	0
FC5.2	709.3000000000000000	0.2331291468256054223564779285
FC10.28	279.9848031137627799	0.0920239930551905108597298773
FC8.14	1773.2500000000000000	0.5828228670640135558911948213
FC1.1	279.9848031137627800	0.0920239930551905108925973729
FC8.9	0.0000000000000000	0
FC5.2	709.3000000000000000	0.2331291468256054223564779285
FC10.28	279.9848031137627799	0.0920239930551905108597298773
FC8.14	1773.2500000000000000	0.5828228670640135558911948213
TotalE500	94.70000000000000000000000000
