TotalIncluidoE500	924.4399999999999983
FC10.28	765.8615492075844810	0.8284599857292896049590908828
FC5.2	40.1300298744625987	0.0434100967877445791763631653
FC1.1	18.1233462317964209	0.0196046755136043668959888672
FC8.14	100.3250746861564977	0.1085252419693614489685570847
FC10.28	765.8615492075844810	0.8284599857292896049590908828
FC5.2	40.1300298744625987	0.0434100967877445791763631653
FC1.1	18.1233462317964209	0.0196046755136043668959888672
FC8.14	100.3250746861564977	0.1085252419693614489685570847
FC10.28	765.8615492075844810	0.8284599857292896049590908828
FC5.2	40.1300298744625987	0.0434100967877445791763631653
FC1.1	18.1233462317964209	0.0196046755136043668959888672
FC8.14	100.3250746861564977	0.1085252419693614489685570847
FC10.28	765.8615492075844810	0.8284599857292896049590908828
FC5.2	40.1300298744625987	0.0434100967877445791763631653
FC1.1	18.1233462317964209	0.0196046755136043668959888672
FC8.14	100.3250746861564977	0.1085252419693614489685570847
FC10.28	765.8615492075844810	0.8284599857292896049590908828
FC5.2	40.1300298744625987	0.0434100967877445791763631653
FC1.1	18.1233462317964209	0.0196046755136043668959888672
FC8.14	100.3250746861564977	0.1085252419693614489685570847
FC10.28	765.8615492075844810	0.8284599857292896049590908828
FC5.2	40.1300298744625987	0.0434100967877445791763631653
FC1.1	18.1233462317964209	0.0196046755136043668959888672
FC8.14	100.3250746861564977	0.1085252419693614489685570847
FC10.28	765.8615492075844810	0.8284599857292896049590908828
FC5.2	40.1300298744625987	0.0434100967877445791763631653
FC1.1	18.1233462317964209	0.0196046755136043668959888672
FC8.14	100.3250746861564977	0.1085252419693614489685570847
FC10.28	765.8615492075844810	0.8284599857292896049590908828
FC5.2	40.1300298744625987	0.0434100967877445791763631653
FC1.1	18.1233462317964209	0.0196046755136043668959888672
FC8.14	100.3250746861564977	0.1085252419693614489685570847
FC10.28	765.8615492075844810	0.8284599857292896049590908828
FC5.2	40.1300298744625987	0.0434100967877445791763631653
FC1.1	18.1233462317964209	0.0196046755136043668959888672
FC8.14	100.3250746861564977	0.1085252419693614489685570847
FC10.28	765.8615492075844810	0.8284599857292896049590908828
FC5.2	40.1300298744625987	0.0434100967877445791763631653
FC1.1	18.1233462317964209	0.0196046755136043668959888672
FC8.14	100.3250746861564977	0.1085252419693614489685570847
FC10.28	765.8615492075844810	0.8284599857292896049590908828
FC5.2	40.1300298744625987	0.0434100967877445791763631653
FC1.1	18.1233462317964209	0.0196046755136043668959888672
FC8.14	100.3250746861564977	0.1085252419693614489685570847
FC10.28	765.8615492075844810	0.8284599857292896049590908828
FC5.2	40.1300298744625987	0.0434100967877445791763631653
FC1.1	18.1233462317964209	0.0196046755136043668959888672
FC8.14	100.3250746861564977	0.1085252419693614489685570847
FC10.28	765.8615492075844810	0.8284599857292896049590908828
FC5.2	40.1300298744625987	0.0434100967877445791763631653
FC1.1	18.1233462317964209	0.0196046755136043668959888672
FC8.14	100.3250746861564977	0.1085252419693614489685570847
FC10.28	765.8615492075844810	0.8284599857292896049590908828
FC5.2	40.1300298744625987	0.0434100967877445791763631653
FC1.1	18.1233462317964209	0.0196046755136043668959888672
FC8.14	100.3250746861564977	0.1085252419693614489685570847
FC10.28	765.8615492075844810	0.8284599857292896049590908828
FC5.2	40.1300298744625987	0.0434100967877445791763631653
FC1.1	18.1233462317964209	0.0196046755136043668959888672
FC8.14	100.3250746861564977	0.1085252419693614489685570847
