MontoTotalDirectos	15011.8146541687543050
FC10.28	12249.2798510549915250	0.8159759584863638211309429894
FC1.1	279.9848031137627800	0.0186509632288866220944968964
FC8.14	1773.2500000000000000	0.1181236273462496834104000816
FC5.2	709.3000000000000000	0.0472494509384998733641600326
FC8.9	0.0000000000000000	0
FC10.28	12249.2798510549915250	0.8159759584863638211309429894
FC1.1	279.9848031137627800	0.0186509632288866220944968964
FC8.14	1773.2500000000000000	0.1181236273462496834104000816
FC5.2	709.3000000000000000	0.0472494509384998733641600326
FC8.9	0.0000000000000000	0
FC10.28	12249.2798510549915250	0.8159759584863638211309429894
FC1.1	279.9848031137627800	0.0186509632288866220944968964
FC8.14	1773.2500000000000000	0.1181236273462496834104000816
FC5.2	709.3000000000000000	0.0472494509384998733641600326
FC8.9	0.0000000000000000	0
FC10.28	12249.2798510549915250	0.8159759584863638211309429894
FC1.1	279.9848031137627800	0.0186509632288866220944968964
FC8.14	1773.2500000000000000	0.1181236273462496834104000816
FC5.2	709.3000000000000000	0.0472494509384998733641600326
FC8.9	0.0000000000000000	0
FC10.28	12249.2798510549915250	0.8159759584863638211309429894
FC1.1	279.9848031137627800	0.0186509632288866220944968964
FC8.14	1773.2500000000000000	0.1181236273462496834104000816
FC5.2	709.3000000000000000	0.0472494509384998733641600326
FC8.9	0.0000000000000000	0
FC10.28	12249.2798510549915250	0.8159759584863638211309429894
FC1.1	279.9848031137627800	0.0186509632288866220944968964
FC8.14	1773.2500000000000000	0.1181236273462496834104000816
FC5.2	709.3000000000000000	0.0472494509384998733641600326
FC8.9	0.0000000000000000	0
FC10.28	12249.2798510549915250	0.8159759584863638211309429894
FC1.1	279.9848031137627800	0.0186509632288866220944968964
FC8.14	1773.2500000000000000	0.1181236273462496834104000816
FC5.2	709.3000000000000000	0.0472494509384998733641600326
FC8.9	0.0000000000000000	0
TotalE500	637.68000000000000000000000000
